element,key,value_number,value_text,note
planned_pair,70-78,8.0,lag,drawn in the adjacency map
planned_pair,70-86,16.0,lag,drawn in the adjacency map
planned_pair,71-72,1.0,lag,drawn in the adjacency map
planned_pair,71-73,2.0,lag,drawn in the adjacency map
planned_pair,71-75,4.0,lag,drawn in the adjacency map
planned_pair,71-79,8.0,lag,drawn in the adjacency map
planned_pair,71-87,16.0,lag,drawn in the adjacency map
planned_pair,72-73,1.0,lag,drawn in the adjacency map
planned_pair,72-74,2.0,lag,drawn in the adjacency map
planned_pair,72-76,4.0,lag,drawn in the adjacency map
planned_pair,72-80,8.0,lag,drawn in the adjacency map
planned_pair,72-88,16.0,lag,drawn in the adjacency map
planned_pair,73-74,1.0,lag,drawn in the adjacency map
planned_pair,73-75,2.0,lag,drawn in the adjacency map
planned_pair,73-77,4.0,lag,drawn in the adjacency map
planned_pair,73-81,8.0,lag,drawn in the adjacency map
planned_pair,73-89,16.0,lag,drawn in the adjacency map
planned_pair,74-75,1.0,lag,drawn in the adjacency map
planned_pair,74-76,2.0,lag,drawn in the adjacency map
planned_pair,74-78,4.0,lag,drawn in the adjacency map
planned_pair,74-82,8.0,lag,drawn in the adjacency map
planned_pair,74-90,16.0,lag,drawn in the adjacency map
planned_pair,75-76,1.0,lag,drawn in the adjacency map
planned_pair,75-77,2.0,lag,drawn in the adjacency map
planned_pair,75-79,4.0,lag,drawn in the adjacency map
planned_pair,75-83,8.0,lag,drawn in the adjacency map
planned_pair,75-91,16.0,lag,drawn in the adjacency map
planned_pair,76-77,1.0,lag,drawn in the adjacency map
planned_pair,76-78,2.0,lag,drawn in the adjacency map
planned_pair,76-80,4.0,lag,drawn in the adjacency map
planned_pair,76-84,8.0,lag,drawn in the adjacency map
planned_pair,76-92,16.0,lag,drawn in the adjacency map
planned_pair,77-78,1.0,lag,drawn in the adjacency map
planned_pair,77-79,2.0,lag,drawn in the adjacency map
planned_pair,77-81,4.0,lag,drawn in the adjacency map
planned_pair,77-85,8.0,lag,drawn in the adjacency map
planned_pair,77-93,16.0,lag,drawn in the adjacency map
planned_pair,78-79,1.0,lag,drawn in the adjacency map
planned_pair,78-80,2.0,lag,drawn in the adjacency map
planned_pair,78-82,4.0,lag,drawn in the adjacency map
planned_pair,78-86,8.0,lag,drawn in the adjacency map
planned_pair,78-94,16.0,lag,drawn in the adjacency map
planned_pair,79-80,1.0,lag,drawn in the adjacency map
planned_pair,79-81,2.0,lag,drawn in the adjacency map
planned_pair,79-83,4.0,lag,drawn in the adjacency map
planned_pair,79-87,8.0,lag,drawn in the adjacency map
planned_pair,79-95,16.0,lag,drawn in the adjacency map
planned_pair,80-81,1.0,lag,drawn in the adjacency map
planned_pair,80-82,2.0,lag,drawn in the adjacency map
planned_pair,80-84,4.0,lag,drawn in the adjacency map
planned_pair,80-88,8.0,lag,drawn in the adjacency map
planned_pair,80-96,16.0,lag,drawn in the adjacency map
planned_pair,81-82,1.0,lag,drawn in the adjacency map
planned_pair,81-83,2.0,lag,drawn in the adjacency map
planned_pair,81-85,4.0,lag,drawn in the adjacency map
planned_pair,81-89,8.0,lag,drawn in the adjacency map
planned_pair,81-97,16.0,lag,drawn in the adjacency map
planned_pair,82-83,1.0,lag,drawn in the adjacency map
planned_pair,82-84,2.0,lag,drawn in the adjacency map
planned_pair,82-86,4.0,lag,drawn in the adjacency map
planned_pair,82-90,8.0,lag,drawn in the adjacency map
planned_pair,82-98,16.0,lag,drawn in the adjacency map
planned_pair,83-84,1.0,lag,drawn in the adjacency map
planned_pair,83-85,2.0,lag,drawn in the adjacency map
planned_pair,83-87,4.0,lag,drawn in the adjacency map
planned_pair,83-91,8.0,lag,drawn in the adjacency map
planned_pair,83-99,16.0,lag,drawn in the adjacency map
planned_pair,84-85,1.0,lag,drawn in the adjacency map
planned_pair,84-86,2.0,lag,drawn in the adjacency map
planned_pair,84-88,4.0,lag,drawn in the adjacency map
planned_pair,84-92,8.0,lag,drawn in the adjacency map
